number,model,rating,final_price,original_price,price_difference
1,realme 3 pro (carbon grey 64 gb),4.7,13999,15999,2000.0
2,realme 3 pro (nitro blue 64 gb),4.7,13999,15999,2000.0
3,realme 3 pro (carbon grey 64 gb),4.7,15999,17999,2000.0
4,niamia cad 3,3.6,799,999,200.0
5,realme 3 pro (nitro blue 128 gb),4.7,16999,19999,3000.0
6,realme 3 pro (nitro blue 64 gb),4.7,15999,17999,2000.0
7,redmi note 7 (onyx black 64 gb),4.5,11999,14999,3000.0
8,redmi note 7 pro (nebula red 64 gb),4.6,13999,15999,2000.0
9,realme 3 (dynamic black 32 gb),4.5,8999,10999,2000.0
10,redmi note 7 (sapphire blue 64 gb),4.5,11999,14999,3000.0
11,realme 3 (dynamic black 64 gb),4.5,10999,12999,2000.0
12,redmi note 6 pro (black 64 gb),4.5,11999,15999,4000.0
13,asus zenfone lite l1 (black 16 gb),4.2,4999,6999,2000.0
14,niamia cad 3,3.6,799,999,200.0
15,redmi go (blue 8 gb),4.3,4499,5999,1500.0
16,asus zenfone max m2 (black 32 gb),4.3,8499,12999,4500.0
17,honor 7a (black 32 gb),4.3,7499,10999,3500.0
18,honor 7a (blue 32 gb),4.3,7499,10999,3500.0
19,redmi go (black 8 gb),4.3,4499,5999,1500.0
20,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
21,samsung galaxy on nxt (gold 64 gb),4.3,10990,17900,6910.0
22,redmi note 6 pro (blue 64 gb),4.5,11999,15999,4000.0
23,redmi y2 (black 32 gb),4.5,8999,10499,1500.0
24,forme n1,3.5,599,630,31.0
25,asus zenfone max pro m1 (grey 64 gb),4.3,12499,14999,2500.0
26,infinix hot s3x (milan black 32 gb),4.2,9999,10999,1000.0
27,honor 7s (blue 16 gb),4.1,5999,8999,3000.0
28,samsung galaxy on nxt (black 64 gb),4.3,10990,17900,6910.0
29,realme 2 pro (black sea 128 gb),4.5,15990,18990,3000.0
30,niamia cad 3,3.6,799,999,200.0
31,nokia 150/150 ds,4.2,1568,1960,392.0
32,redmi 6 (black 64 gb),4.4,8499,10499,2000.0
33,redmi 6 (gold 64 gb),4.4,8499,10499,2000.0
34,niamia cad 3,3.6,799,999,200.0
35,vivo y93 (nebula purple 64 gb),4.4,11990,14990,3000.0
36,realme 2 pro (black sea 64 gb),4.5,11990,14990,3000.0
37,realme 2 pro (blue ocean 64 gb),4.5,11990,14990,3000.0
38,samsung guru 1200,4.2,1100,1260,160.0
39,lenovo a5 (black 32 gb),4,6999,7999,1000.0
40,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
41,samsung guru music 2,4.3,1625,1760,135.0
42,realme 2 pro (black sea 64 gb),4.5,13990,16990,3000.0
43,realme 2 pro (blue ocean 64 gb),4.5,13990,16990,3000.0
44,forme n1,3.5,599,630,31.0
45,honor 10 lite (sapphire blue 32 gb),4.4,11999,13999,2000.0
46,redmi 6 (blue 64 gb),4.4,8499,10499,2000.0
47,nokia 1 (dark blue 8 gb),4,3304,4130,826.0
48,micromax x1i power,4,849,1086,237.0
49,oppo a5s (black 32 gb),4.4,9990,12990,3000.0
50,niamia cad 2,3.3,799,999,200.0
51,panasonic eluga z1 (gold 32 gb),4.3,7999,10990,2991.0
52,panasonic p110 (red 16 gb),4,3999,7499,3500.0
53,samsung galaxy a20 (red 32 gb),4.4,12490,12900,410.0
54,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
55,karbonn k24+,3.8,922,922,0.0
56,poco f1 by xiaomi (rosso red 64 gb),4.5,19999,21999,2000.0
57,nokia 105,4.2,1050,1050,0.0
58,oppo f9 pro (starry purple 64 gb),4.5,17990,25990,8000.0
59,samsung guru fm plus sm-b110e/d,4.2,1375,1500,125.0
60,niamia cad 3,3.6,799,999,200.0
61,apple iphone xr (black 64 gb),4.6,59900,76900,17000.0
62,samsung guru music 2,4.3,1625,1760,135.0
63,redmi y2 (gold 64 gb),4.4,10999,13499,2500.0
64,niamia cad 3,3.6,799,999,200.0
65,samsung galaxy a10 (blue 32 gb),4.4,8490,9600,1110.0
66,redmi note 6 pro (black 64 gb),4.5,15999,17999,2000.0
67,micromax spark go (rose gold 8 gb),4.2,3999,4999,1000.0
68,oppo a5s (red 32 gb),4.4,9990,12990,3000.0
69,oppo a7 (glaze blue 64 gb),4.3,12990,16990,4000.0
70,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
71,oppo a7 (glaring gold 64 gb),4.4,14990,18990,4000.0
72,oppo a7 (glaring gold 64 gb),4.3,12990,16990,4000.0
73,ssky k3 star,0,650,650,0.0
74,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
75,samsung guru music 2,4.3,1450,1450,0.0
76,samsung galaxy a50 (white 64 gb),4.3,22990,24000,1010.0
77,rocktel w8,3.6,599,599,0.0
78,asus zenfone max m1 (black 32 gb),4.1,6999,8999,2000.0
79,nokia ta -1010/ nokia 105,4.2,1074,1074,0.0
80,niamia cad 3,3.6,799,999,200.0
81,nokia 150/150 ds,4.2,1568,1960,392.0
82,i kall i kall k2180 red,3.6,598,599,1.0
83,samsung galaxy a20 (black 32 gb),4.4,12490,12900,410.0
84,niamia cad 3,3.6,799,999,200.0
85,skywin i8,0,1199,1199,0.0
86,jivi sumo t3000,3.4,1269,1269,0.0
87,redmi note 5 pro (black 64 gb),4.5,12690,12990,300.0
88,samsung galaxy on nxt (black 64 gb),4.3,10990,17900,6910.0
89,samsung galaxy s8 (midnight black 64 gb),4.5,30990,49990,19000.0
90,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
91,samsung galaxy j6 (blue 64 gb),4.4,10490,12900,2410.0
92,yu yunicorn (rush silver 32 gb),3.8,5999,14999,9000.0
93,panasonic p110 (black 16 gb),4,3999,7499,3500.0
94,niamia cad1 combo of two mobiles,0,1119,1399,280.0
95,lenovo a5 (gold 16 gb),4.1,5999,6999,1000.0
96,oppo f9 pro (twilight blue 64 gb),4.5,17990,25990,8000.0
97,nokia 6.1 plus (white 64 gb),4.3,14999,17600,2601.0
98,nokia 216/216 ds,4.2,2491,2600,109.0
99,karbonn k24+,3.8,922,922,0.0
100,niamia cad 3,3.6,799,999,200.0
101,panasonic eluga x1 pro (silver 128 gb),4,12850,12990,140.0
102,samsung galaxy note 8 (midnight black 64 gb),4.6,36990,74000,37010.0
103,samsung galaxy a10 (black 32 gb),4.4,8490,9600,1110.0
104,niamia cad 3,3.6,799,999,200.0
105,honor 9i (aurora blue 64 gb),4.3,10999,19999,9000.0
106,honor 9i (graphite black 64 gb),4.3,10999,19999,9000.0
107,vivo nex (black 128 gb),4.3,39990,39990,0.0
108,redmi 6a (gold 16 gb),4.3,6440,6440,0.0
109,i kall k2180,3.6,549,599,50.0
110,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
111,nokia 105 dual sim 2017,4.2,1100,1100,0.0
112,fox sultan,3.9,879,1099,220.0
113,samsung guru music 2,4.3,1625,1760,135.0
114,niamia cad1 combo of two mobiles,0,1119,1399,280.0
115,micromax spark go (rose gold 8 gb),4.2,3999,4999,1000.0
116,micromax spark go (silver 8 gb),4.2,3999,4999,1000.0
117,redmi 6a (rose gold 32 gb),4.3,6799,6999,200.0
118,oppo a5s (red 32 gb),4.4,9990,12990,3000.0
119,oppo a5s (black 32 gb),4.4,9990,12990,3000.0
120,forme n1,3.5,599,630,31.0
121,oppo k1 (piano black 64 gb),4.5,16990,18990,2000.0
122,oppo k1 (astral blue 64 gb),4.5,16990,18990,2000.0
123,samsung galaxy on max (gold 32 gb),4.3,10990,16900,5910.0
124,niamia cad 2,3.3,799,999,200.0
125,samsung galaxy a20 (red 32 gb),4.4,12490,12900,410.0
126,lg g7 thinq (black 64 gb),4.5,27999,50000,22001.0
127,lg g7 thinq (platinum 64 gb),4.5,27999,50000,22001.0
128,redmi note 6 pro (black 64 gb),4.5,15999,17999,2000.0
129,nokia 105,4.2,1050,1050,0.0
130,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
131,i kall k3311,3.8,649,699,50.0
132,micromax x1i pop,3.9,749,1099,350.0
133,micromax x1i pop,3.9,749,1099,350.0
134,niamia cad 3,3.6,799,999,200.0
135,micromax x1i pop,3.9,749,1099,350.0
136,gfive champ,3.5,755,755,0.0
137,gfive champ,3.5,755,755,0.0
138,karbonn k888 metal,3.7,1449,1740,291.0
139,samsung galaxy j8 (black 64 gb),4.4,14990,17000,2010.0
140,niamia cad 3,3.6,799,999,200.0
141,adcom a1 selfie voice changer phone,3.4,670,730,60.0
142,rocktel w8,3.6,599,599,0.0
143,panasonic eluga ray 600 (gold 32 gb),4.1,6999,12999,6000.0
144,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
145,moto e5 (fine gold 16 gb),4.3,7045,7365,320.0
146,i kall k130 new,4,589,599,10.0
147,redmi note 5 pro (blue 64 gb),4.5,12749,14999,2250.0
148,samsung galaxy s10 (prism white 128 gb),4.7,66900,71000,4100.0
149,kechaoda k112,3.8,1125,1150,25.0
150,niamia cad 2,3.3,799,999,200.0
151,karbonn k-phone 1,3.8,1159,1159,0.0
152,moto one (black 64 gb),0,13999,14999,1000.0
153,nokia 150,4.2,1859,1889,30.0
154,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
155,realme c1 (navy blue 32 gb),4.4,8499,9999,1500.0
156,realme c1 (mirror black 32 gb),4.4,8499,9999,1500.0
157,poco f1 by xiaomi (graphite black 256 gb),4.6,27999,30999,3000.0
158,redmi 6a (gold 16 gb),4.3,6440,6440,0.0
159,reach champ i3,3.5,619,619,0.0
160,niamia cad 3,3.6,799,999,200.0
161,apple iphone 6s plus (rose gold 32 gb),4.4,34900,34900,0.0
162,karbonn kx2,3.9,787,787,0.0
163,nokia 1 (warm red 8 gb),4,3625,4295,670.0
164,niamia cad 3,3.6,799,999,200.0
165,ecotel e12,3.4,499,499,0.0
166,kechaoda k116 plus,4,899,920,21.0
167,kechaoda k116 plus,3.9,899,910,11.0
168,infocus selfie c1,3.9,668,749,81.0
169,vivo y91 (starry black 32 gb),4.4,9990,11990,2000.0
170,niamia cad 2,3.3,799,999,200.0
171,i kall k2180 pack of two mobile,3.6,955,955,0.0
172,mu m370,4.5,820,820,0.0
173,rocktel w8,3.6,599,599,0.0
174,niamia cad 1 combo of two mobiles,3.3,1119,1399,280.0
175,panasonic eluga ray 700 (mocha gold 32 gb),3.6,6990,8990,2000.0
176,samsung galaxy on max (black 32 gb),4.3,10990,16900,5910.0
177,i kall k72 pack of three mobiles,3.2,989,2100,1111.0
178,xolo era 4x (gold 16 gb),4.1,4499,4499,0.0
179,xolo era 4x (black 16 gb),3.8,5199,7199,2000.0
180,niamia cad 3,3.6,799,999,200.0
