number,model,rating,final_price, original_price, price_difference
1,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
2,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
3,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
4,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
5,nokia red 1 8gb,0,  4555, 5818,1263.0
6,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
7,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
8,blackberry z10,3.4,  4348, 9999,5651.0
9,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
10,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
11,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
12,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
13,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
14,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
15,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
16,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
17,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
18,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
19,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
20,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
21,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
22,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
23,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
24,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
25,nokia red 1 8gb,0,  4555, 5818,1263.0
26,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
27,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
28,blackberry z10,3.4,  4348, 9999,5651.0
29,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
30,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
31,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
32,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
33,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
34,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
35,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
36,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
37,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
38,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
39,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
40,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
41,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
42,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
43,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
44,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
45,nokia red 1 8gb,0,  4555, 5818,1263.0
46,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
47,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
48,blackberry z10,3.4,  4348, 9999,5651.0
49,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
50,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
51,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
52,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
53,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
54,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
55,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
56,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
57,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
58,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
59,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
60,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
61,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
62,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
63,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
64,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
65,nokia red 1 8gb,0,  4555, 5818,1263.0
66,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
67,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
68,blackberry z10,3.4,  4348, 9999,5651.0
69,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
70,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
71,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
72,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
73,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
74,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
75,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
76,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
77,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
78,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
79,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
80,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
81,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
82,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
83,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
84,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
85,nokia red 1 8gb,0,  4555, 5818,1263.0
86,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
87,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
88,blackberry z10,3.4,  4348, 9999,5651.0
89,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
90,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
91,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
92,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
93,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
94,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
95,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
96,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
97,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
98,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
99,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
100,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
101,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
102,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
103,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
104,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
105,nokia red 1 8gb,0,  4555, 5818,1263.0
106,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
107,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
108,blackberry z10,3.4,  4348, 9999,5651.0
109,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
110,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
111,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
112,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
113,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
114,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
115,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
116,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
117,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
118,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
119,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
120,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
121,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
122,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
123,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
124,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
125,nokia red 1 8gb,0,  4555, 5818,1263.0
126,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
127,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
128,blackberry z10,3.4,  4348, 9999,5651.0
129,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
130,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
131,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
132,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
133,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
134,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
135,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
136,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
137,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
138,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
139,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
140,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
141,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
142,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
143,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
144,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
145,nokia red 1 8gb,0,  4555, 5818,1263.0
146,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
147,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
148,blackberry z10,3.4,  4348, 9999,5651.0
149,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
150,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
151,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
152,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
153,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
154,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
155,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
156,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
157,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
158,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
159,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
160,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
161,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
162,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
163,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
164,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
165,nokia red 1 8gb,0,  4555, 5818,1263.0
166,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
167,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
168,blackberry z10,3.4,  4348, 9999,5651.0
169,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
170,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
171,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
172,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
173,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
174,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
175,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
176,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
177,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
178,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
179,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
180,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
